x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.554265,-0.000233827,0.624268,0.924129,-0.382078,-0.000588054,-0.000411803,-0.00519615,-0.00519615,-0.00519615,0.02691,0.0171436,0.02691,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55426,-0.000239052,0.624263,0.924135,-0.382066,-0.000601194,-0.000421005,-0.00525389,-0.00525389,-0.00525389,0.027209,0.0173341,0.027209,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554255,-0.000244335,0.624258,0.92414,-0.382053,-0.00061448,-0.000430308,-0.00531162,-0.00531162,-0.00531162,0.027508,0.0175245,0.027508,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554249,-0.000249675,0.624252,0.924145,-0.38204,-0.000627911,-0.000439714,-0.00536936,-0.00536936,-0.00536936,0.027807,0.017715,0.027807,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554244,-0.000255073,0.624247,0.92415,-0.382028,-0.000641487,-0.000449221,-0.00542709,-0.00542709,-0.00542709,0.028106,0.0179055,0.028106,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554238,-0.000260529,0.624241,0.924156,-0.382014,-0.000655208,-0.00045883,-0.00548483,-0.00548483,-0.00548483,0.028405,0.018096,0.028405,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554233,-0.000266043,0.624236,0.924161,-0.382001,-0.000669075,-0.00046854,-0.00554256,-0.00554256,-0.00554256,0.028704,0.0182865,0.028704,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554227,-0.000271614,0.62423,0.924167,-0.381988,-0.000683086,-0.000478352,-0.0056003,-0.0056003,-0.0056003,0.029003,0.018477,0.029003,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554222,-0.000277244,0.624225,0.924172,-0.381974,-0.000697243,-0.000488266,-0.00565803,-0.00565803,-0.00565803,0.029302,0.0186675,0.029302,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554216,-0.00028293,0.624219,0.924178,-0.381961,-0.000711545,-0.000498281,-0.00571577,-0.00571577,-0.00571577,0.029601,0.0188579,0.029601,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55421,-0.000288675,0.624213,0.924183,-0.381947,-0.000725992,-0.000508398,-0.0057735,-0.0057735,-0.0057735,0.0299,0.0190484,0.0299,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554205,-0.000294478,0.624208,0.924189,-0.381933,-0.000740585,-0.000518617,-0.00583124,-0.00583124,-0.00583124,0.030199,0.0192389,0.030199,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554199,-0.000300338,0.624202,0.924195,-0.381919,-0.000755322,-0.000528938,-0.00588897,-0.00588897,-0.00588897,0.030498,0.0194294,0.030498,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554193,-0.000306255,0.624196,0.924201,-0.381905,-0.000770205,-0.00053936,-0.00594671,-0.00594671,-0.00594671,0.030797,0.0196199,0.030797,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
